ID_REF	VALUE
AFFX-BkGr23-GC9_st	0.46
AFFX-CreX-3_at	14.65
AFFX-CreX-5_at	14.50
AFFX-HSAC07/X00351_3_st	0.82
AFFX-HSAC07/X00351_5_st	1.77
AFFX-HSAC07/X00351_M_st	1.44
AFFX-HUMGAPDH/M33197_3_st	0.48
AFFX-HUMGAPDH/M33197_5_st	1.24
AFFX-HUMGAPDH/M33197_M_st	0.87
AFFX-HUMISGF3A/M97935_3_st	0.65
AFFX-HUMISGF3A/M97935_5_st	0.69
AFFX-HUMISGF3A/M97935_MA_st	0.71
AFFX-HUMISGF3A/M97935_MB_st	0.62
AFFX-HUMRGE/M10098_3_st	12.67
AFFX-HUMRGE/M10098_5_st	11.64
AFFX-HUMRGE/M10098_M_st	12.24
AFFX-M27830_3_st	0.91
AFFX-M27830_5_st	11.96
AFFX-M27830_M_st	8.01
AFFX-hum_alu_st	3.95
AFFX-r2-Ec-c1-bioB-3_at	9.83
AFFX-r2-Ec-c1-bioB-5_at	9.83
AFFX-r2-Ec-c1-bioB-M_at	10.38
AFFX-r2-Ec-c1-bioC-3_at	11.98
AFFX-r2-Ec-c1-bioC-5_at	12.05
AFFX-r2-Ec-c1-bioD-3_at	13.41
AFFX-r2-Ec-c1-bioD-5_at	12.62
AFFX-r2-Ec-c2-bioB-3_at	9.65
AFFX-r2-Ec-c2-bioB-5_at	9.83
AFFX-r2-Ec-c2-bioB-M_at	10.41
AFFX-r2-Ec-c2-bioC-3_at	11.89
AFFX-r2-Ec-c2-bioC-5_at	12.08
AFFX-r2-Ec-c2-bioD-3_at	13.53
AFFX-r2-Ec-c2-bioD-5_at	12.77
AFFX-r2-Ec-c3-bioB-3_at	9.59
AFFX-r2-Ec-c3-bioB-5_at	9.88
AFFX-r2-Ec-c3-bioB-M_at	10.36
AFFX-r2-Ec-c3-bioC-3_at	11.92
AFFX-r2-Ec-c3-bioC-5_at	12.08
AFFX-r2-Ec-c3-bioD-3_at	13.35
AFFX-r2-Ec-c3-bioD-5_at	12.72
AFFX-r2-P1-c1-cre-3_at	14.84
AFFX-r2-P1-c1-cre-5_at	14.72
AFFX-r2-P1-c2-cre-3_at	14.85
AFFX-r2-P1-c2-cre-5_at	14.84
AFFX-r2-P1-c3-cre-3_at	14.93
AFFX-r2-P1-c3-cre-5_at	14.83
E2_st	1.01
E3_x_st	1.23
ENSG00000199196_st	0.89
ENSG00000199212_st	0.44
ENSG00000199231_s_st	0.03
ENSG00000199231_st	0.88
ENSG00000199231_x_st	0.47
ENSG00000199262_st	0.49
ENSG00000199282_st	0.84
ENSG00000199321_st	0.29
ENSG00000199321_x_st	0.43
ENSG00000199363_st	0.82
ENSG00000199370_st	0.60
ENSG00000199370_x_st	0.50
ENSG00000199392_st	0.32
ENSG00000199405_s_st	0.33
ENSG00000199405_x_st	0.48
ENSG00000199411_s_st	4.03
ENSG00000199411_st	0.62
ENSG00000199411_x_st	0.87
ENSG00000199452_st	0.66
ENSG00000199470_st	1.50
ENSG00000199473_st	1.22
ENSG00000199474_st	1.14
ENSG00000199474_x_st	0.72
ENSG00000199552_x_st	0.58
ENSG00000199566_st	0.36
ENSG00000199571_st	0.23
ENSG00000199571_x_st	0.65
ENSG00000199633_st	0.64
ENSG00000199633_x_st	0.79
ENSG00000199666_st	1.01
ENSG00000199666_x_st	0.58
ENSG00000199675_s_st	1.24
ENSG00000199713_st	0.50
ENSG00000199713_x_st	0.61
ENSG00000199727_st	2.50
ENSG00000199769_st	0.52
ENSG00000199783_st	0.67
ENSG00000199787_st	0.72
ENSG00000199787_x_st	1.34
ENSG00000199815_st	0.92
ENSG00000199851_st	0.47
ENSG00000199851_x_st	0.27
ENSG00000199856_st	0.80
ENSG00000199856_x_st	1.33
ENSG00000199857_st	0.70
ENSG00000199894_s_st	0.52
ENSG00000199894_st	0.65
ENSG00000199894_x_st	0.47
ENSG00000199927_st	0.72
ENSG00000199934_x_st	0.39
ENSG00000199959_s_st	0.18
ENSG00000199959_st	0.64
ENSG00000199959_x_st	0.67
ENSG00000199977_st	0.81
ENSG00000200026_st	5.28
ENSG00000200026_x_st	3.97
ENSG00000200042_st	1.04
ENSG00000200051_x_st	0.98
ENSG00000200063_st	1.22
ENSG00000200063_x_st	0.61
ENSG00000200072_st	0.87
ENSG00000200072_x_st	0.74
ENSG00000200075_st	0.46
ENSG00000200112_st	1.09
ENSG00000200112_x_st	0.19
ENSG00000200113_st	0.74
ENSG00000200130_x_st	0.35
ENSG00000200150_st	1.03
ENSG00000200150_x_st	0.55
ENSG00000200191_st	0.68
ENSG00000200191_x_st	0.33
ENSG00000200206_st	0.54
ENSG00000200206_x_st	0.19
ENSG00000200222_st	0.39
ENSG00000200235_st	1.34
ENSG00000200235_x_st	0.58
ENSG00000200237_st	1.25
ENSG00000200288_st	0.86
ENSG00000200288_x_st	0.71
ENSG00000200294_st	1.19
ENSG00000200294_x_st	0.47
ENSG00000200318_x_st	0.94
ENSG00000200355_st	0.61
ENSG00000200377_st	0.95
ENSG00000200385_st	0.85
ENSG00000200398_x_st	1.53
ENSG00000200418_st	0.59
ENSG00000200422_st	0.54
ENSG00000200422_x_st	0.65
ENSG00000200442_st	2.24
ENSG00000200442_x_st	1.25
ENSG00000200492_st	0.80
ENSG00000200492_x_st	0.78
ENSG00000200496_st	0.79
ENSG00000200496_x_st	1.12
ENSG00000200536_st	0.95
ENSG00000200538_st	0.94
ENSG00000200538_x_st	0.73
ENSG00000200545_st	0.70
ENSG00000200620_st	0.83
ENSG00000200620_x_st	0.71
ENSG00000200652_st	0.78
ENSG00000200652_x_st	0.47
ENSG00000200654_st	0.68
ENSG00000200677_st	0.35
ENSG00000200677_x_st	0.61
ENSG00000200693_st	0.63
ENSG00000200706_st	1.05
ENSG00000200706_x_st	1.15
ENSG00000200733_st	0.60
ENSG00000200753_st	0.36
ENSG00000200753_x_st	0.73
ENSG00000200801_x_st	0.80
ENSG00000200879_st	0.35
ENSG00000200891_st	1.12
ENSG00000200891_x_st	2.11
ENSG00000200897_st	1.51
ENSG00000200897_x_st	0.44
ENSG00000200969_st	1.90
ENSG00000200969_x_st	1.67
ENSG00000200991_st	0.57
ENSG00000200991_x_st	0.61
ENSG00000200999_st	0.43
ENSG00000200999_x_st	0.77
ENSG00000201003_st	0.69
ENSG00000201009_s_st	5.15
ENSG00000201009_st	0.63
ENSG00000201009_x_st	0.56
ENSG00000201025_st	0.83
ENSG00000201036_st	0.62
ENSG00000201042_s_st	1.13
ENSG00000201042_st	0.19
ENSG00000201042_x_st	0.95
ENSG00000201129_st	0.66
ENSG00000201133_st	0.94
ENSG00000201151_st	0.35
ENSG00000201157_st	0.61
ENSG00000201199_s_st	0.47
ENSG00000201209_st	1.18
ENSG00000201229_st	0.60
ENSG00000201245_st	0.26
ENSG00000201245_x_st	0.62
ENSG00000201300_x_st	0.05
ENSG00000201316_st	1.22
ENSG00000201329_st	0.74
ENSG00000201346_st	0.39
ENSG00000201348_st	1.94
ENSG00000201368_st	0.79
ENSG00000201368_x_st	0.94
ENSG00000201376_st	0.62
ENSG00000201384_st	0.57
ENSG00000201388_s_st	0.21
ENSG00000201388_st	0.36
ENSG00000201388_x_st	0.40
ENSG00000201393_st	0.53
ENSG00000201398_st	1.64
ENSG00000201398_x_st	0.90
ENSG00000201407_st	0.46
ENSG00000201410_st	0.31
ENSG00000201448_st	0.57
ENSG00000201448_x_st	0.59
ENSG00000201465_st	1.34
ENSG00000201467_st	0.21
ENSG00000201467_x_st	0.65
ENSG00000201500_st	0.51
ENSG00000201500_x_st	0.74
ENSG00000201502_st	0.53
ENSG00000201502_x_st	0.45
ENSG00000201516_st	0.73
ENSG00000201541_st	0.72
ENSG00000201541_x_st	0.31
ENSG00000201542_st	0.41
ENSG00000201542_x_st	0.98
ENSG00000201592_s_st	0.45
ENSG00000201619_st	3.51
ENSG00000201619_x_st	2.26
ENSG00000201660_st	1.20
ENSG00000201660_x_st	0.82
ENSG00000201666_st	1.14
ENSG00000201666_x_st	0.99
